Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
LOC643837,0.6907660157497355,0.41373531754676973,0.6889,0.4217
LOC100130417,3.1785312845453036e-05,0.6534289155824005,0.0001,0.6551
SAMD11,0.06027266393304932,0.07955556073776543,0.06,0.0652
NOC2L,0.8264285565676908,0.28758102749422887,0.8246,0.2902
KLHL17,0.04987624508427357,0.46329162675242963,0.0502,0.4721
PLEKHN1,0.14426667298693596,0.007681325562296329,0.1353,0.0051
C1orf170,0.32910807600838166,0.4813062924753839,0.3283,0.4749
HES4,0.023712385545179418,0.578829971027687,0.0249,0.6005
ISG15,0.2401484624992893,0.0007402400410615157,0.2358,0.0001
AGRN,0.03793281880327604,0.7126866051167278,0.0381,0.707
C1orf159,0.020001885854736057,0.20603367574125644,0.0197,0.2159
LOC254099,0.009642375463674469,0.127898518323668,0.0098,0.1242
TTLL10,0.7103045087356202,0.006843835663012228,0.7183,0.0068
TNFRSF18,0.17320482744649734,0.0020938347129394633,0.1746,0.0017
TNFRSF4,0.37791815514000016,0.09013432205306328,0.3813,0.0926
SDF4,0.1558687883097242,0.8985215074941828,0.1533,0.8986
B3GALT6,0.1002369911896769,0.031125840819582046,0.0934,0.0275
FAM132A,0.006454311672213382,0.00029459865474672795,0.0061,0.0004
UBE2J2,0.7486553239871663,0.21371747299865992,0.75,0.2071
SCNN1D,0.13256681250190858,0.26699826708206914,0.1353,0.2666
ACAP3,0.17418841285565878,0.6982245715417138,0.1846,0.702
PUSL1,0.5853850976673344,0.03521070765408898,0.5725,0.0325
CPSF3L,0.8100768971086594,0.8597168134375276,0.8097,0.8653
GLTPD1,0.961352017950056,0.1022472983316649,0.9589,0.1066
DVL1,0.6371779848928885,0.29985830971568656,0.6368,0.3036
MXRA8,0.6184568216605661,0.7354845476185679,0.6227,0.7272
AURKAIP1,0.4325011376378963,0.3030777082129929,0.4283,0.3019
CCNL2,0.586736542021224,0.028740493383492268,0.5837,0.0263
LOC148413,0.7339163686148443,0.036881991155385936,0.7435,0.0336
